;id;label;community
166;167;BRACAMONTE, M.;27.0
167;168;GALLEGO, J.R.;11.0
168;169;YANEZ PAZMINO, W.;7.0
169;170;Y., BONAMI;24.0
170;171;PEREZ JIMENEZ, R;29.0
171;172;POUJOL, J.;8.0
172;173;CORDERO, M.;2.0
173;174;VERA, K.;46.0
174;175;(...), VILLAVICENCIO;0.0
175;176;BARZOLA, J.;23.0
176;177;ROMERO, C.;66.0
177;178;YONCON, R.;50.0
178;179;DE VYLDER, J.;0.0
179;180;GUERRERO, E.;14.0
180;181;(...), LASCANO;1.0
181;182;GALARZA, C.E.;60.0
182;183;SANDOYA, F.;46.0
183;184;LEYVA GRADO, V.H.;63.0
184;185;THOMPSON, F.;1.0
185;186;(...), LIU;1.0
186;187;SECKMEYER, G.;12.0
187;188;(...), CORREA;47.0
188;189;GRANDA, R.X.;0.0
189;190;A., RIEBESELL;1.0
190;191;MARTIN, R.R.;3.0
191;192;AZOCAR, L.A.;71.0
192;193;URIBE, E.;1.0
193;194;(...), CONATI;0.0
194;195;ORTEGA, D.;1.0
195;196;SARAGURO BRAVO, R.;56.0
196;197;VARAJAO, A.F.D.C.;77.0
197;198;ZHANG, X. G.;21.0
198;199;SANTANA, P.M.;2.0
199;200;ORDONEZ, C.;11.0
200;201;E.L., MARTIN;3.0
201;202;JORGE, A.M.;49.0
202;203;(...), SSWAT;1.0
203;204;FIGUEROA, S.;0.0
204;205;I.;47.0
205;206;QUEVEDO, O.;17.0
206;207;BASANTES, L.S.;78.0
207;208;CHAVEZ BURBANO, P.;29.0
208;209;BAHSOON, R.;34.0
209;210;SPAGNOLINI, U.;112.0
210;211;NUNEZ, A.;2.0
211;212;NOGALES, A.;31.0
212;213;CROW, J.J.;78.0
213;214;(...), ORELLANA;2.0
214;215;ARROYO, D.E.;5.0
215;216;JORDA, L.;33.0
216;217;DE TRE, G.;85.0
217;218;AUBRY, C.;5.0
218;219;GALARZA MORALES, C.E.;61.0
219;220;M.J., BERREZUETA;0.0
220;221;MADRID, C.E.;19.0
221;222;ROTH, P.;12.0
222;223;D.P.L., ALBRECHT;22.0
223;224;LUMBRERAS, F.;8.0
224;225;CARRION, R.G.;109.0
225;226;M., OCHOA;3.0
226;227;H. P., RIEBESELL;1.0
227;228;WITT, C.;47.0
228;229;GONZALEZ LEMA, C.;48.0
229;230;TINOCO, D.L.;0.0
230;231;APOLINARIO, W.;1.0
231;232;T.P.;1.0
232;233;SALAZAR, E.X.;5.0
233;234;(...), ORTIZ CORNEJO;1.0
234;235;VERA BERMUDEZ, J.;11.0
235;236;TOURON, N.;28.0
236;237;(...), MANRESA;6.0
237;238;WALKER, S.;6.0
238;239;ALVES, G.R.;0.0
239;240;CASTILLO, R.;82.0
240;241;RAGONEZI, C.;31.0
241;242;FORERO, G.N.;65.0
242;243;PALMA OLATE, J.M.;61.0
243;244;CARVAJAL AYALA, J.A.;8.0
244;245;GAMBOA DELGADO, J.;26.0
245;246;F., REYES MUNOZ;6.0
246;247;(...), EVERAERT;2.0
247;248;GOMEZ, J.;14.0
248;249;ARRIECHE, D.;1.0
249;250;MORALES, M.E.;26.0
250;251;ZABALA, G.;5.0
251;252;LOPEZ PIRES, F.;46.0
252;253;(...), MIRANDA;2.0
253;254;RUIZ, O.;45.0
254;255;FORIO, M.A.E.;2.0
255;256;MENDIETA, M.;4.0
256;257;AYYANAR, R.;68.0
257;258;SANTANA, P.I.M.;70.0
258;259;CORNEJO, M.H.;5.0
259;260;INTRIAGO, R.P.;7.0
260;261;ORTIZ, K.;0.0
261;262;B.X., TOLEDO;8.0
262;263;CARRILLO, Y.;5.0
263;264;M.J., CUKUROVA;0.0
264;265;(...), QUIJANO AVILES;2.0
265;266;TORRES, C.;72.0
266;267;ZAMBRANO, O.;0.0
267;268;L., ZHANG;15.0
268;269;VASQUEZ, A.;0.0
269;270;SAAVEDRA, A.;11.0
270;271;SANTOS VICTOR, J.;19.0
271;272;AGUILERA CARRASCO, C.A.;8.0
272;273;ORDONEZ CASADO, B.;1.0
273;274;NINNESS, B.;86.0
274;275;(...), CEVALLOS CEVALLOS;3.0
275;276;CAERS, M.;2.0
276;277;VAN ROYEN, K.;2.0
277;278;(...), CAI;15.0
278;279;SICILIA, M. A.;0.0
279;280;JACOME RUIZ, P.;5.0
280;281;U., WINDER;13.0
281;282;BOADO, C.;11.0
282;283;DE LA CUADRA, T.;4.0
283;284;LEON, M.;7.0
284;285;ASTUDILLO, E.;0.0
285;286;POLEO, G.;37.0
286;287;ORTEGA MENDEZ, J.A.;0.0
287;288;QUINTEROS TRELLES, A.;83.0
288;289;ESPIN, M.;2.0
289;290;V.;42.0
290;291;VELASQUEZ, W.;7.0
291;292;JORDAN, C.I.;98.0
292;293;PINCAY, J.;0.0
293;294;A., SONNENHOLZNER;1.0
294;295;D., DANIEL;1.0
295;296;A.H.C.;3.0
296;297;BREY, T.;1.0
297;298;MOREIRA, C.;16.0
298;299;GARCIA BUSTOS, S.;45.0
299;300;T., ORELLANA MANZANO;2.0
300;301;LOPEZ, P.R.;4.0
301;302;VACA URBANO, F.;7.0
302;303;MUNOZ, J.A.;7.0
303;304;I., DUVAL;0.0
304;305;MEDINA RODRLGUEZ, B.;41.0
305;306;TOLEDO, R.;8.0
306;307;MENDEZ, G.;0.0
307;308;RECALDE, A.A.L.;68.0
308;309;FREITES, L.;1.0
309;310;PIGUAVE, X.;2.0
