Id,Label,timeset,componentnumber
"Kuffó, L.","Kuffó, L.",,1
"Izquierdo, E.","Izquierdo, E.",,1
"Bustamante, J.C.","Bustamante, J.C.",,1
"Rea, F.M.","Rea, F.M.",,16
"Tovar, N.","Tovar, N.",,16
"Barba, M.F.","Barba, M.F.",,16
"Aviles, J.C.","Aviles, J.C.",,16
"Salazar, K.","Salazar, K.",,6
"Ramos, B.","Ramos, B.",,6
"Brito, J.","Brito, J.",,6
"D'Amico, M.","D'Amico, M.",,6
"Mera-Gomez, C.","Mera-Gomez, C.",,17
"Ramirez, F.","Ramirez, F.",,17
"Bahsoon, R.","Bahsoon, R.",,17
"Buyya, R.","Buyya, R.",,17
"Rohoden, K.","Rohoden, K.",,18
"Estrada, R.","Estrada, R.",,18
"Otrok, H.","Otrok, H.",,18
"Dziong, Z.","Dziong, Z.",,18
"Cevallos, H.","Cevallos, H.",,1
"Intriago, G.","Intriago, G.",,1
"Plaza, D.","Plaza, D.",,1
"Intriago, R.","Intriago, R.",,1
"Torres, M.A.R.","Torres, M.A.R.",,19
"Castro, C.A.","Castro, C.A.",,19
"Rider, M.J.","Rider, M.J.",,19
"Villavicencio, M.","Villavicencio, M.",,1
"Oyola, A.","Oyola, A.",,1
"Collaguazo-Jaramillo, A.","Collaguazo-Jaramillo, A.",,1
"Moreira, V.","Moreira, V.",,1
"Lara, P.","Lara, P.",,1
"García, S.","García, S.",,1
"Peláez, E.","Peláez, E.",,1
"Rivadeneira, R.E.","Rivadeneira, R.E.",,1
"Suárez, P.L.","Suárez, P.L.",,1
"Vintimilla, B.X.","Vintimilla, B.X.",,1
"Urquizo, J.","Urquizo, J.",,20
"Calderón, C.","Calderón, C.",,20
"James, P.","James, P.",,20
"Quelal, R.","Quelal, R.",,1
"Mendoza, L.E.","Mendoza, L.E.",,1
"Loor, M.","Loor, M.",,21
"De Tré, G.","De Tré, G.",,21
"Espinoza-Andaluz, M.","Espinoza-Andaluz, M.",,22
"Moyón, A.","Moyón, A.",,22
"Andersson, M.","Andersson, M.",,22
"Flores-Morán, E.","Flores-Morán, E.",,22
"Yánez-Pazmiño, W.","Yánez-Pazmiño, W.",,22
"Espin-Pazmiño, L.","Espin-Pazmiño, L.",,22
"Molina-Miranda, M.","Molina-Miranda, M.",,22
"Guzmán-Real, C.","Guzmán-Real, C.",,22
"Arana, R.C.","Arana, R.C.",,1
"Mena, L.","Mena, L.",,1
"Montes, H.","Montes, H.",,1
"Cajo, R.","Cajo, R.",,1
"Morera, Á.","Morera, Á.",,23
"Sánchez, Á.","Sánchez, Á.",,23
"Sappa, Á.D.","Sappa, Á.D.",,23
"Vélez, J.F.","Vélez, J.F.",,23
"Jácome, G.","Jácome, G.",,24
"Vilela, P.","Vilela, P.",,24
"Yoo, C.","Yoo, C.",,24
"Arévalo-Avecillas, D.","Arévalo-Avecillas, D.",,1
"Padilla-Lozano, C.","Padilla-Lozano, C.",,1
"Pino, R.","Pino, R.",,1
"Botto-Tobar, M.","Botto-Tobar, M.",,22
"Barzola-Monteses, J.","Barzola-Monteses, J.",,22
"Santos-Baquerizo, E.","Santos-Baquerizo, E.",,22
"Lucas-Marcillo, K.E.","Lucas-Marcillo, K.E.",,2
"Plaza Guingla, D.A.","Plaza Guingla, D.A.",,2
"Barra, W.","Barra, W.",,2
"Rios Orellana, S.J.","Rios Orellana, S.J.",,2
"Herrera Muentes, E.V.","Herrera Muentes, E.V.",,2
"Guingla, D.A.P.","Guingla, D.A.P.",,2
"Benavides, D.A.V.","Benavides, D.A.V.",,2
"Recalde, L.","Recalde, L.",,1
"Mendieta, J.","Mendieta, J.",,1
"Boratto, L.","Boratto, L.",,1
"Baquerizo, G.","Baquerizo, G.",,1
"Macarini, L.A.","Macarini, L.A.",,1
"Lemos dos Santos, H.","Lemos dos Santos, H.",,1
"Cechinel, C.","Cechinel, C.",,1
"Alonso, G.E.","Alonso, G.E.",,1
"Díaz, P.","Díaz, P.",,1
