Source;Target;Weight
Sappa, A.D.;Vintimilla, B.X.;17
Quelal, R.;Mendoza, L.E.;1
Quelal, R.;Villavicencio, M.;2
Mendoza, L.E.;Villavicencio, M.;2
Arana, R.C.;Mena, L.;1
Arana, R.C.;Montes, H.;1
Arana, R.C.;Cajo, R.;1
Mena, L.;Montes, H.;1
Mena, L.;Cajo, R.;1
Montes, H.;Cajo, R.;1
Arévalo-Avecillas, D.;Padilla-Lozano, C.;1
Arévalo-Avecillas, D.;Pino, R.;1
Arévalo-Avecillas, D.;Cevallos, H.;1
Padilla-Lozano, C.;Pino, R.;1
Padilla-Lozano, C.;Cevallos, H.;1
Pino, R.;Cevallos, H.;1
Recalde, L.;Mendieta, J.;1
Recalde, L.;Boratto, L.;1
Recalde, L.;Vaca, C.;1
Recalde, L.;Baquerizo, G.;1
Mendieta, J.;Boratto, L.;1
Mendieta, J.;Vaca, C.;3
Mendieta, J.;Baquerizo, G.;2
Boratto, L.;Vaca, C.;1
Boratto, L.;Baquerizo, G.;1
Vaca, C.;Baquerizo, G.;4
Macarini, L.A.;Lemos dos Santos, H.;1
Macarini, L.A.;Cechinel, C.;1
Macarini, L.A.;Alonso, G.E.;1
Macarini, L.A.;Díaz, P.;1
Lemos dos Santos, H.;Cechinel, C.;1
Lemos dos Santos, H.;Alonso, G.E.;1
Lemos dos Santos, H.;Díaz, P.;1
Cechinel, C.;Alonso, G.E.;3
Cechinel, C.;Díaz, P.;1
Alonso, G.E.;Díaz, P.;1
Cajo, R.;Mac, T.T.;1
Cajo, R.;Plaza, D.;1
Cajo, R.;De Keyser, R.;1
Cajo, R.;Ionescu, C.;1
Mac, T.T.;Plaza, D.;1
Mac, T.T.;De Keyser, R.;1
Mac, T.T.;Ionescu, C.;1
Plaza, D.;De Keyser, R.;1
Plaza, D.;Ionescu, C.;1
De Keyser, R.;Ionescu, C.;1
Rottondi, C.;Verticale, G.;1
Rottondi, C.;Fraternali, P.;1
Rottondi, C.;Hidasi, B.;1
Rottondi, C.;Vaca Ruiz, C.K.;1
Verticale, G.;Fraternali, P.;1
Verticale, G.;Hidasi, B.;1
Verticale, G.;Vaca Ruiz, C.K.;1
Fraternali, P.;Hidasi, B.;1
Fraternali, P.;Vaca Ruiz, C.K.;1
Hidasi, B.;Vaca Ruiz, C.K.;1
Ortega, A.P.;Merrett, G.V.;1
Ortega, A.P.;Ramchurn, S.D.;1
Merrett, G.V.;Ramchurn, S.D.;1
Ferrin, A.;Larrea, J.;1
Ferrin, A.;Realpe, M.;1
Ferrin, A.;Ochoa, D.;1
Larrea, J.;Realpe, M.;1
Larrea, J.;Ochoa, D.;1
Realpe, M.;Ochoa, D.;1
Campana, F.;Dominguez, F.;2
Mendieta, M.;Panchana, F.;1
Mendieta, M.;Andrade, B.;1
Mendieta, M.;Vintimilla, B.;1
Mendieta, M.;Romero, D.;2
Panchana, F.;Andrade, B.;1
Panchana, F.;Vintimilla, B.;1
Panchana, F.;Romero, D.;1
Andrade, B.;Vintimilla, B.;1
Andrade, B.;Romero, D.;1
Vintimilla, B.;Romero, D.;1
Martinez, C.;Eras, L.;1
Martinez, C.;Dominguez, F.;1
Eras, L.;Dominguez, F.;1
Alcivar-Molina, E.;Hurel, J.;1
Alcivar-Molina, E.;Teran, E.;1
Alcivar-Molina, E.;Ponguillo, R.;1
Alcivar-Molina, E.;Loayza, F.R.;1
Hurel, J.;Teran, E.;1
Hurel, J.;Ponguillo, R.;1
Hurel, J.;Loayza, F.R.;1
Teran, E.;Ponguillo, R.;1
Teran, E.;Loayza, F.R.;1
Ponguillo, R.;Loayza, F.R.;1
Loayza, F.R.;Sola-Mora, J.;1
Loayza, F.R.;Castro-Valladares, L.;1
Loayza, F.R.;Nunez-Idrovo, L.;1
Loayza, F.R.;Mora, H.;1
Sola-Mora, J.;Castro-Valladares, L.;1
Sola-Mora, J.;Nunez-Idrovo, L.;1
Sola-Mora, J.;Mora, H.;1
Castro-Valladares, L.;Nunez-Idrovo, L.;1
Castro-Valladares, L.;Mora, H.;1
Nunez-Idrovo, L.;Mora, H.;1
Vaca-Urbano, F.;Alvarez-Alvarado, M.S.;3
Vaca-Urbano, F.;Cordova-Villagomez, J.;1
Vaca-Urbano, F.;Recalde, A.;2
Vaca-Urbano, F.;Blazquez, F.;1
