Source;Target;Type;Weight;year
Cevallos, H.;Intriago, G.;Undirected;3;2018
Cevallos, H.;Plaza, D.;Undirected;3;2018
Intriago, G.;Plaza, D.;Undirected;3;2018
Intriago, G.;Intriago, R.;Undirected;1;2019
Cevallos, H.;Intriago, R.;Undirected;1;2019
Plaza, D.;Intriago, R.;Undirected;1;2019
Villavicencio, M.;Oyola, A.;Undirected;1;2019
Villavicencio, M.;Izquierdo, E.;Undirected;2;2016
Oyola, A.;Izquierdo, E.;Undirected;1;2019
Collaguazo-Jaramillo, A.;Villavicencio, M.;Undirected;1;2019
Collaguazo-Jaramillo, A.;Moreira, V.;Undirected;1;2019
Collaguazo-Jaramillo, A.;Lara, P.;Undirected;1;2019
Villavicencio, M.;Moreira, V.;Undirected;1;2019
Villavicencio, M.;Lara, P.;Undirected;1;2019
Moreira, V.;Lara, P.;Undirected;1;2019
Torres, J.;García, S.;Undirected;2;2017
Torres, J.;Peláez, E.;Undirected;4;2016
García, S.;Peláez, E.;Undirected;2;2017
Rivadeneira, R.E.;Suárez, P.L.;Undirected;1;2019
Rivadeneira, R.E.;Sappa, A.D.;Undirected;1;2019
Rivadeneira, R.E.;Vintimilla, B.X.;Undirected;1;2019
Suárez, P.L.;Sappa, A.D.;Undirected;5;2017
Suárez, P.L.;Vintimilla, B.X.;Undirected;5;2017
Sappa, A.D.;Vintimilla, B.X.;Undirected;14;2015
Quelal, R.;Mendoza, L.E.;Undirected;1;2019
Quelal, R.;Villavicencio, M.;Undirected;2;2018
Mendoza, L.E.;Villavicencio, M.;Undirected;2;2018
Arana, R.C.;Mena, L.;Undirected;1;2019
Arana, R.C.;Montes, H.;Undirected;1;2019
Arana, R.C.;Cajo, R.;Undirected;1;2019
Mena, L.;Montes, H.;Undirected;1;2019
Mena, L.;Cajo, R.;Undirected;1;2019
Montes, H.;Cajo, R.;Undirected;1;2019
Arévalo-Avecillas, D.;Padilla-Lozano, C.;Undirected;1;2019
Arévalo-Avecillas, D.;Pino, R.;Undirected;1;2019
Arévalo-Avecillas, D.;Cevallos, H.;Undirected;1;2019
Padilla-Lozano, C.;Pino, R.;Undirected;1;2019
Padilla-Lozano, C.;Cevallos, H.;Undirected;1;2019
Pino, R.;Cevallos, H.;Undirected;1;2019
Recalde, L.;Mendieta, J.;Undirected;1;2019
Recalde, L.;Boratto, L.;Undirected;1;2019
Recalde, L.;Vaca, C.;Undirected;1;2019
Recalde, L.;Baquerizo, G.;Undirected;1;2019
Mendieta, J.;Boratto, L.;Undirected;1;2019
Mendieta, J.;Vaca, C.;Undirected;3;2016
Mendieta, J.;Baquerizo, G.;Undirected;2;2017
Boratto, L.;Vaca, C.;Undirected;1;2019
Boratto, L.;Baquerizo, G.;Undirected;1;2019
Vaca, C.;Baquerizo, G.;Undirected;4;2016
Macarini, L.A.;Lemos dos Santos, H.;Undirected;1;2019
Macarini, L.A.;Cechinel, C.;Undirected;1;2019
Macarini, L.A.;Alonso, G.E.;Undirected;1;2019
Macarini, L.A.;Díaz, P.;Undirected;1;2019
Lemos dos Santos, H.;Cechinel, C.;Undirected;1;2019
Lemos dos Santos, H.;Alonso, G.E.;Undirected;1;2019
Lemos dos Santos, H.;Díaz, P.;Undirected;1;2019
Cechinel, C.;Alonso, G.E.;Undirected;3;2018
Cechinel, C.;Díaz, P.;Undirected;1;2019
Alonso, G.E.;Díaz, P.;Undirected;1;2019
Cajo, R.;Mac, T.T.;Undirected;1;2019
Cajo, R.;Plaza, D.;Undirected;1;2019
Cajo, R.;De Keyser, R.;Undirected;1;2019
Cajo, R.;Ionescu, C.;Undirected;1;2019
Mac, T.T.;Plaza, D.;Undirected;1;2019
Mac, T.T.;De Keyser, R.;Undirected;1;2019
Mac, T.T.;Ionescu, C.;Undirected;1;2019
Plaza, D.;De Keyser, R.;Undirected;1;2019
Plaza, D.;Ionescu, C.;Undirected;1;2019
De Keyser, R.;Ionescu, C.;Undirected;1;2019
Rottondi, C.;Verticale, G.;Undirected;1;2019
Rottondi, C.;Fraternali, P.;Undirected;1;2019
Rottondi, C.;Hidasi, B.;Undirected;1;2019
Rottondi, C.;Vaca Ruiz, C.K.;Undirected;1;2019
Verticale, G.;Fraternali, P.;Undirected;1;2019
Verticale, G.;Hidasi, B.;Undirected;1;2019
Verticale, G.;Vaca Ruiz, C.K.;Undirected;1;2019
Fraternali, P.;Hidasi, B.;Undirected;1;2019
Fraternali, P.;Vaca Ruiz, C.K.;Undirected;1;2019
Hidasi, B.;Vaca Ruiz, C.K.;Undirected;1;2019
Ferrin, A.;Larrea, J.;Undirected;1;2018
Ferrin, A.;Realpe, M.;Undirected;1;2018
Ferrin, A.;Ochoa, D.;Undirected;1;2018
Larrea, J.;Realpe, M.;Undirected;1;2018
Larrea, J.;Ochoa, D.;Undirected;1;2018
Realpe, M.;Ochoa, D.;Undirected;1;2018
Campana, F.;Dominguez, F.;Undirected;2;2018
Mendieta, M.;Panchana, F.;Undirected;1;2018
Mendieta, M.;Andrade, B.;Undirected;1;2018
Mendieta, M.;Vintimilla, B.;Undirected;1;2018
Mendieta, M.;Romero, D.;Undirected;2;2018
Panchana, F.;Andrade, B.;Undirected;1;2018
Panchana, F.;Vintimilla, B.;Undirected;1;2018
Panchana, F.;Romero, D.;Undirected;1;2018
Andrade, B.;Vintimilla, B.;Undirected;1;2018
Andrade, B.;Romero, D.;Undirected;1;2018
Vintimilla, B.;Romero, D.;Undirected;1;2018
Martinez, C.;Eras, L.;Undirected;1;2018
Martinez, C.;Dominguez, F.;Undirected;1;2018
Eras, L.;Dominguez, F.;Undirected;1;2018
Alcivar-Molina, E.;Hurel, J.;Undirected;1;2018
Alcivar-Molina, E.;Teran, E.;Undirected;1;2018
Alcivar-Molina, E.;Ponguillo, R.;Undirected;1;2018
Alcivar-Molina, E.;Loayza, F.R.;Undirected;1;2018
Hurel, J.;Teran, E.;Undirected;1;2018
Hurel, J.;Ponguillo, R.;Undirected;1;2018
Hurel, J.;Loayza, F.R.;Undirected;1;2018
Teran, E.;Ponguillo, R.;Undirected;1;2018
Teran, E.;Loayza, F.R.;Undirected;1;2018
Ponguillo, R.;Loayza, F.R.;Undirected;1;2018
Loayza, F.R.;Sola-Mora, J.;Undirected;1;2018
Loayza, F.R.;Castro-Valladares, L.;Undirected;1;2018
Loayza, F.R.;Nunez-Idrovo, L.;Undirected;1;2018
Loayza, F.R.;Mora, H.;Undirected;1;2018
Sola-Mora, J.;Castro-Valladares, L.;Undirected;1;2018
Sola-Mora, J.;Nunez-Idrovo, L.;Undirected;1;2018
Sola-Mora, J.;Mora, H.;Undirected;1;2018
Castro-Valladares, L.;Nunez-Idrovo, L.;Undirected;1;2018
Castro-Valladares, L.;Mora, H.;Undirected;1;2018
Nunez-Idrovo, L.;Mora, H.;Undirected;1;2018
Vaca-Urbano, F.;Alvarez-Alvarado, M.S.;Undirected;3;2017
Vaca-Urbano, F.;Cordova-Villagomez, J.;Undirected;1;2018
Vaca-Urbano, F.;Recalde, A.;Undirected;2;2018
Vaca-Urbano, F.;Blazquez, F.;Undirected;1;2018
Alvarez-Alvarado, M.S.;Cordova-Villagomez, J.;Undirected;1;2018
Alvarez-Alvarado, M.S.;Recalde, A.;Undirected;2;2018
Alvarez-Alvarado, M.S.;Blazquez, F.;Undirected;1;2018
Cordova-Villagomez, J.;Recalde, A.;Undirected;1;2018
Cordova-Villagomez, J.;Blazquez, F.;Undirected;1;2018
Recalde, A.;Blazquez, F.;Undirected;1;2018
Recalde, A.;Endara, I.;Undirected;2;2018
Recalde, A.;Torres, J.;Undirected;1;2018
Endara, I.;Torres, J.;Undirected;1;2018
Endara, I.;Alvarez-Alvarado, M.S.;Undirected;1;2018
Endara, I.;Vaca-Urbano, F.;Undirected;1;2018
Torres, J.;Alvarez-Alvarado, M.S.;Undirected;1;2018
Torres, J.;Vaca-Urbano, F.;Undirected;1;2018
Cipriano, D.;Rengifo, J.;Undirected;1;2018
Cipriano, D.;Aller, J.M.;Undirected;1;2018
Rengifo, J.;Aller, J.M.;Undirected;2;2018
Rengifo, J.;Romero, J.;Undirected;1;2018
Romero, J.;Aller, J.M.;Undirected;1;2018
Asanza, V.;Pelaez, E.;Undirected;4;2016
Asanza, V.;Loayza, F.;Undirected;3;2018
Asanza, V.;Diaz, J.;Undirected;1;2018
Asanza, V.;Valarezo, E.;Undirected;1;2018
Pelaez, E.;Loayza, F.;Undirected;3;2018
Pelaez, E.;Diaz, J.;Undirected;1;2018
Pelaez, E.;Valarezo, E.;Undirected;1;2018
Loayza, F.;Diaz, J.;Undirected;1;2018
Loayza, F.;Valarezo, E.;Undirected;1;2018
Diaz, J.;Valarezo, E.;Undirected;1;2018
Suarez, P.L.;Sappa, A.D.;Undirected;6;2017
Suarez, P.L.;Vintimilla, B.X.;Undirected;6;2017
Suarez, P.L.;Hammoud, R.I.;Undirected;2;2018
Sappa, A.D.;Hammoud, R.I.;Undirected;2;2018
Vintimilla, B.X.;Hammoud, R.I.;Undirected;2;2018
Villegas, P.;Mena, L.;Undirected;1;2018
Villegas, P.;Constantine, A.;Undirected;1;2018
Villegas, P.;Villalba, R.;Undirected;1;2018
Villegas, P.;Ochoa, D.;Undirected;1;2018
Mena, L.;Constantine, A.;Undirected;1;2018
Mena, L.;Villalba, R.;Undirected;1;2018
Mena, L.;Ochoa, D.;Undirected;1;2018
Constantine, A.;Villalba, R.;Undirected;1;2018
Constantine, A.;Ochoa, D.;Undirected;1;2018
Villalba, R.;Ochoa, D.;Undirected;1;2018
Baidal, C.S.;Salazar, D.S.;Undirected;1;2018
Baidal, C.S.;Padilla, V.S.;Undirected;1;2018
Baidal, C.S.;Estrada, R.L.;Undirected;1;2018
Baidal, C.S.;Arreaga, N.X.;Undirected;1;2018
Salazar, D.S.;Padilla, V.S.;Undirected;1;2018
Salazar, D.S.;Estrada, R.L.;Undirected;1;2018
Salazar, D.S.;Arreaga, N.X.;Undirected;1;2018
Padilla, V.S.;Estrada, R.L.;Undirected;1;2018
Padilla, V.S.;Arreaga, N.X.;Undirected;2;2018
Estrada, R.L.;Arreaga, N.X.;Undirected;1;2018
Velásquez, W.;Chalen, M.;Undirected;2;2018
Velásquez, W.;Salvachúa, J.;Undirected;3;2018
Chalen, M.;Salvachúa, J.;Undirected;1;2018
Liao, W.;Zhao, Y.;Undirected;1;2018
Liao, W.;Rugel, G.M.V.;Undirected;1;2018
Liao, W.;Philips, W.;Undirected;2;2017
Ochoa, D.;Zhao, Y.;Undirected;1;2018
Ochoa, D.;Rugel, G.M.V.;Undirected;1;2018
Ochoa, D.;Philips, W.;Undirected;2;2017
Zhao, Y.;Rugel, G.M.V.;Undirected;1;2018
Zhao, Y.;Philips, W.;Undirected;1;2018
Rugel, G.M.V.;Philips, W.;Undirected;1;2018
Dye, M.;Kumar, N.;Undirected;1;2018
Dye, M.;Schlesinger, A.;Undirected;1;2018
Dye, M.;Pal, J.;Undirected;1;2018
Dye, M.;Gray, M.L.;Undirected;1;2018
Kumar, N.;Schlesinger, A.;Undirected;1;2018
Kumar, N.;Pal, J.;Undirected;1;2018
Kumar, N.;Gray, M.L.;Undirected;1;2018
Schlesinger, A.;Pal, J.;Undirected;1;2018
Schlesinger, A.;Gray, M.L.;Undirected;1;2018
Pal, J.;Gray, M.L.;Undirected;1;2018
Lucas, P.;Loayza, K.;Undirected;2;2018
Lucas, P.;Peláez, E.;Undirected;3;2015
Loayza, K.;Peláez, E.;Undirected;1;2018
Castro, S.J.;Jácome, L.;Undirected;1;2018
Castro, S.J.;Concha, A.G.;Undirected;1;2018
Castro, S.J.;Miño, M.F.;Undirected;1;2018
Castro, S.J.;De Lourdes Pilay, M.;Undirected;1;2018
Jácome, L.;Concha, A.G.;Undirected;1;2018
Jácome, L.;Miño, M.F.;Undirected;1;2018
Jácome, L.;De Lourdes Pilay, M.;Undirected;1;2018
Concha, A.G.;Miño, M.F.;Undirected;1;2018
Concha, A.G.;De Lourdes Pilay, M.;Undirected;1;2018
Miño, M.F.;De Lourdes Pilay, M.;Undirected;1;2018
Cordova-Garcia, J.;Xie, D.-L.;Undirected;1;2018
Cordova-Garcia, J.;Wang, X.;Undirected;2;2018
Xie, D.-L.;Wang, X.;Undirected;1;2018
Cordova Estrella, R.;Marin-Garcia, I.;Undirected;1;2018
Cordova Estrella, R.;Munoz-Arcentales, J.A.;Undirected;1;2018
Cordova Estrella, R.;Asanza, V.;Undirected;1;2018
Cordova Estrella, R.;Velasquez Vargas, W.A.;Undirected;1;2018
Marin-Garcia, I.;Munoz-Arcentales, J.A.;Undirected;1;2018
Marin-Garcia, I.;Asanza, V.;Undirected;1;2018
Marin-Garcia, I.;Velasquez Vargas, W.A.;Undirected;1;2018
Munoz-Arcentales, J.A.;Asanza, V.;Undirected;1;2018
Munoz-Arcentales, J.A.;Velasquez Vargas, W.A.;Undirected;1;2018
Asanza, V.;Velasquez Vargas, W.A.;Undirected;1;2018
MacArini, L.A.;Cechinel, C.;Undirected;1;2018
MacArini, L.A.;Dos Santos, H.L.;Undirected;1;2018
MacArini, L.A.;Alonso, G.E.;Undirected;1;2018
MacArini, L.A.;Casas, A.P.;Undirected;1;2018
Cechinel, C.;Dos Santos, H.L.;Undirected;3;2017
Cechinel, C.;Casas, A.P.;Undirected;1;2018
Dos Santos, H.L.;Alonso, G.E.;Undirected;2;2018
Dos Santos, H.L.;Casas, A.P.;Undirected;1;2018
Alonso, G.E.;Casas, A.P.;Undirected;1;2018
Jurado-Verdu, C.;Guerra, V.;Undirected;2;2018
Jurado-Verdu, C.;Rabadan, J.;Undirected;2;2018
Jurado-Verdu, C.;Perez-Jimenez, R.;Undirected;2;2018
Jurado-Verdu, C.;Chavez-Burbano, P.;Undirected;2;2018
Guerra, V.;Rabadan, J.;Undirected;4;2016
Guerra, V.;Perez-Jimenez, R.;Undirected;4;2016
Guerra, V.;Chavez-Burbano, P.;Undirected;3;2018
Rabadan, J.;Perez-Jimenez, R.;Undirected;4;2016
Rabadan, J.;Chavez-Burbano, P.;Undirected;3;2018
Perez-Jimenez, R.;Chavez-Burbano, P.;Undirected;4;2015
Boza, E.F.;Villavicencio, M.;Undirected;3;2017
Boza, E.F.;Quimba, S.;Undirected;2;2018
Abad, C.L.;Villavicencio, M.;Undirected;2;2018
Abad, C.L.;Quimba, S.;Undirected;2;2018
Villavicencio, M.;Quimba, S.;Undirected;3;2018
Luzardo, G.;Aelterman, J.;Undirected;2;2017
Luzardo, G.;Luong, H.;Undirected;2;2017
Luzardo, G.;Ochoa, D.;Undirected;2;2017
Luzardo, G.;Rousseaux, S.;Undirected;1;2018
Aelterman, J.;Luong, H.;Undirected;2;2017
Aelterman, J.;Ochoa, D.;Undirected;2;2017
Aelterman, J.;Rousseaux, S.;Undirected;1;2018
Luong, H.;Ochoa, D.;Undirected;2;2017
Luong, H.;Rousseaux, S.;Undirected;1;2018
Ochoa, D.;Rousseaux, S.;Undirected;1;2018
Velasquez, W.;Alvarez-Alvarado, M.S.;Undirected;1;2018
Velasquez, W.;Salvachua, J.;Undirected;2;2018
Alvarez-Alvarado, M.S.;Salvachua, J.;Undirected;1;2018
Gonzalez, A.;Velasquez, W.;Undirected;1;2018
Velasquez, W.;Munoz-Arcentales, A.;Undirected;2;2018
Velasquez, W.;Rodriguez, J.S.;Undirected;1;2018
Munoz-Arcentales, A.;Rodriguez, J.S.;Undirected;1;2018
Caio, R.;Copot, C.;Undirected;1;2018
Caio, R.;Ionescu, C.M.;Undirected;1;2018
Caio, R.;De Kevser, R.;Undirected;1;2018
Caio, R.;Plaza, D.;Undirected;1;2018
Copot, C.;Ionescu, C.M.;Undirected;1;2018
Copot, C.;De Kevser, R.;Undirected;1;2018
Copot, C.;Plaza, D.;Undirected;1;2018
Ionescu, C.M.;De Kevser, R.;Undirected;1;2018
Ionescu, C.M.;Plaza, D.;Undirected;1;2018
De Kevser, R.;Plaza, D.;Undirected;1;2018
Lucas, P.;Vaca, D.;Undirected;1;2018
Lucas, P.;Dominguez, F.;Undirected;1;2018
Lucas, P.;Ochoa, X.;Undirected;1;2018
Vaca, D.;Dominguez, F.;Undirected;1;2018
Vaca, D.;Ochoa, X.;Undirected;1;2018
Dominguez, F.;Ochoa, X.;Undirected;2;2018
Oviedo, I.D.;Altamirano, C.A.;Undirected;1;2018
Oviedo, I.D.;Millan, M.E.;Undirected;1;2018
Oviedo, I.D.;Arreaga, N.X.;Undirected;1;2018
Oviedo, I.D.;Padilla, V.S.;Undirected;1;2018
Altamirano, C.A.;Millan, M.E.;Undirected;1;2018
Altamirano, C.A.;Arreaga, N.X.;Undirected;1;2018
Altamirano, C.A.;Padilla, V.S.;Undirected;1;2018
Millan, M.E.;Arreaga, N.X.;Undirected;1;2018
Millan, M.E.;Padilla, V.S.;Undirected;1;2018
Soria, X.;Sappa, A.D.;Undirected;3;2017
Charco, J.L.;Vintimilla, B.X.;Undirected;1;2018
Charco, J.L.;Sappa, A.D.;Undirected;1;2018
Quelal, R.E.;Villavicencio, M.;Undirected;1;2018
Quelal, R.E.;Mendoza, L.E.;Undirected;1;2018
Wong-Villacres, M.;Kumar, A.;Undirected;1;2018
Kumar, A.;Vishwanath, A.;Undirected;1;2018
Kumar, A.;DiSalvo, B.;Undirected;1;2018
Kumar, A.;Kumar, N.;Undirected;1;2018
Vishwanath, A.;DiSalvo, B.;Undirected;1;2018
Castillo, G.;Layedra, F.;Undirected;1;2018
Castillo, G.;Guaranda, M.-B.;Undirected;1;2018
Castillo, G.;Lara, P.;Undirected;1;2018
Castillo, G.;Vaca, C.;Undirected;2;2017
Layedra, F.;Guaranda, M.-B.;Undirected;1;2018
Layedra, F.;Lara, P.;Undirected;1;2018
Guaranda, M.-B.;Lara, P.;Undirected;1;2018
Guaranda, M.-B.;Vaca, C.;Undirected;1;2018
Lara, P.;Vaca, C.;Undirected;1;2018
Kuffo, L.;Vaca, C.;Undirected;1;2018
Kuffo, L.;Izquierdo, E.;Undirected;1;2018
Kuffo, L.;Bustamante, J.C.;Undirected;1;2018
Fiallos, A.;Fiallos, C.;Undirected;1;2018
Fiallos, A.;Figueroa, S.;Undirected;1;2018
Jimenes, K.;Fiallos, C.;Undirected;1;2018
Jimenes, K.;Figueroa, S.;Undirected;1;2018
Fiallos, C.;Figueroa, S.;Undirected;1;2018
Alomari, A.;April, A.;Undirected;1;2018
Alomari, A.;Monsalve, C.;Undirected;1;2018
Alomari, A.;Gawanmeh, A.;Undirected;1;2018
April, A.;Monsalve, C.;Undirected;2;2015
April, A.;Gawanmeh, A.;Undirected;1;2018
Monsalve, C.;Gawanmeh, A.;Undirected;1;2018
Evans, H.I.;Wong-Villacres, M.;Undirected;1;2018
Evans, H.I.;Castro, D.;Undirected;1;2018
Evans, H.I.;Dye, M.;Undirected;1;2018
Evans, H.I.;Bruckman, A.;Undirected;1;2018
Wong-Villacres, M.;Castro, D.;Undirected;1;2018
Wong-Villacres, M.;Dye, M.;Undirected;1;2018
Wong-Villacres, M.;Bruckman, A.;Undirected;1;2018
Castro, D.;Dye, M.;Undirected;1;2018
Castro, D.;Bruckman, A.;Undirected;1;2018
Dye, M.;Bruckman, A.;Undirected;1;2018
Abad, C.L.;Eyk, E.V.;Undirected;1;2018
Boza, E.F.;Eyk, E.V.;Undirected;1;2018
Van Eyk, E.;Iosup, A.;Undirected;1;2018
Van Eyk, E.;Abad, C.L.;Undirected;1;2018
Van Eyk, E.;Grohmann, J.;Undirected;1;2018
Van Eyk, E.;Eismann, S.;Undirected;1;2018
Iosup, A.;Grohmann, J.;Undirected;1;2018
Iosup, A.;Eismann, S.;Undirected;1;2018
Abad, C.L.;Grohmann, J.;Undirected;1;2018
Abad, C.L.;Eismann, S.;Undirected;1;2018
Grohmann, J.;Eismann, S.;Undirected;1;2018
Bonilla, R.I.;Abad, C.L.;Undirected;1;2018
Carrillo, G.E.;Abad, C.L.;Undirected;1;2018
Bonilla, R.I.;Crow, J.J.;Undirected;1;2018
Bonilla, R.I.;Basantes, L.S.;Undirected;1;2018
Bonilla, R.I.;Cruz, L.G.;Undirected;1;2018
Crow, J.J.;Basantes, L.S.;Undirected;1;2018
Crow, J.J.;Cruz, L.G.;Undirected;1;2018
Basantes, L.S.;Cruz, L.G.;Undirected;1;2018
